#######################################
filename, sn name, jd, wmin, wmax, flag
1993J_19930507.fits,1993J,2449115.406,3890.0,7031.51,1
1993J_19930516.fits,1993J,2449123.5,3918.86,7309.0,1
1993J_19930517.fits,1993J,2449125.003,3703.47,7229.97,1
1993J_19930519.fits,1993J,2449126.594,3942.68,7209.0,1
1993J_19930520a.fits,1993J,2449128.003,3535.09,11096.42,1
1993J_19930520.fits,1993J,2449127.5,3677.05,10003.65,1
1993J_19930521.fits,1993J,2449129.003,3656.58,11280.39,1
1993J_19930522.fits,1993J,2449130.003,3640.94,7267.73,1
1993J_19930523a.fits,1993J,2449131.003,3490.32,6809.45,1
1993J_19930523.fits,1993J,2449131.417,3890.0,7309.0,1
1993J_19930524.fits,1993J,2449132.003,3489.08,7142.72,1
1993J_19930525a.fits,1993J,2449133.003,3609.18,7285.61,1
1993J_19930525.fits,1993J,2449133.458,3934.74,7309.0,1
1993J_19930528.fits,1993J,2449136.385,3580.15,9458.06,1
1993J_19930529.fits,1993J,2449136.531,6013.0,7098.0,1
1993J_19930604.fits,1993J,2449142.51,4611.0,8964.27,1
1993J_19930620.fits,1993J,2449159.003,3763.77,11160.91,1
1993J_19930624a.fits,1993J,2449163.438,7707.0,9689.0,1
1993J_19930624b.fits,1993J,2449163.438,3647.64,5647.0,1
1993J_19930721.fits,1993J,2449189.003,3640.94,7341.22,1
1993J_19930723.fits,1993J,2449191.5,3468.98,9415.0,1
1993J_19930816.fits,1993J,2449215.003,3724.95,9458.06,1
