  2009jf Ib
  NGC7479   ABg= 0.460 0.0 ABi= 0.2  0.2  mu= 32.65 0.10 jd_expl= 55099.5 (ABg=Schlegel,mu=Tully,vel=2462 32.65pm.06)
______________________________________________________________________
UBVRI   JD_MAX  55116.  2.0   55119.4  2.0   55122.0  2.0   55123.9  2.  55124.8  2.0
     m_max    15.70   0.0    15.60   0.0    15.00   0.0    14.83   0.0    14.59   0.0
  Date        JD             U              B               V             R                 I         S    Inst  
 2009-10-18  55122.82450    17.23  0.05  17.75  0.06  17.92  0.06     10    xx    
 2009-10-20  55124.55501    17.28  0.06  17.96  0.07  18.10  0.07     10    xx    
 2009-11-01  55137.14600    17.86  0.08  18.09  0.07  18.04  0.07     10    xx    
 2009-11-04  55139.56480    17.93  0.08  17.91  0.07  18.02  0.08     10    xx    
 2009-11-07  55142.63760    17.90  0.07  9999   0.0    9999  0.0      10    xx    
_____________________________________________________________________________________________________
JHK       JD_max        55120.05 2.0      55120.05  1.0   55120.05  2.0
          m_max        14.1    0.0     14.1   0.0     13.8   0.0 
  Date          JD              J               H             K          S       Inst
# xx/xx/xx    55390.59      18.815 0.073    18.60 0.000     17.852 0.000 -1       galaxy
 02/10/2009  55106.59      15.565 0.029    15.511 0.042    15.356 0.052  3       NICS
 07/10/2009  55111.45      14.838 0.016    14.725 0.018    14.527 0.021  3       NICS
 13/10/2009 55117.31       14.421 0.111    14.393 0.093    14.294 0.139  3       NICS
 20/10/2009  55125.64      14.285 0.011    14.151 0.011    13.956 0.015  8       SOFI 
 23/10/2009  55128.35      14.305 0.067    14.335 0.089    9999   0.0    10      lp
 24/10/2009  55129.39     14.322 0.127    14.186 0.153    9999.0 0.000  10      lp_ap_ap 
 27/10/2009  55132.02      14.359 0.199    14.180 0.204    9999   0.000  11      rem_ap_ap 
 06/11/2009  55141.16      14.521 0.138    14.402 0.113    14.301 0.109  11      rem_fit_fit
 11/11/2009  55146.08      14.773 0.382    14.607 0.410    14.637 0.096  11      rem 
 15/11/2009  55150.14      14.812 0.470    14.793 0.445    14.700 0.259  11      rem(horriblezeropoint)   
 19/11/2009  55154.14      14.992 0.366    14.895 0.366      9999 0.000  11      rem 
 19/11/2009  55154.14        9999 0.000     9999  0.000    14.322 0.691 -11      rem 
 23/11/2009  55158.52      15.069 0.020    14.897 0.024    14.924 0.029  8       Sofi 
 24/11/2009  55159.05      15.113 0.249    14.817 0.249    15.337 0.230  11      rem 
 08/12/2009  55174.32      15.600 0.056    15.140 0.052     9999  0.000  10      LP
 02/07/2010  55378.68      19.340 0.300     18.57  0.30     19.083 0.300  3      NICS
_____________________________________________________________________________________________________
ugriz   JD_MAX    55116.  2.0    55118.  2.0    55120.  2.0    55120.  2.     55121.  2.0
         m_max    15.70   0.0    15.60   0.0    15.11   0.0    14.80   0.0    14.50   0.0
  Date        JD             u              g                 r              i               z         S    Inst   
 20091004    55109.41   9999.9 0.000    9999.9 0.000    15.767 0.013    15.808 0.013    9999.9 0.000    4    LT    
 20091006    55111.38   9999.9 0.000    9999.9 0.000    15.518 0.008    15.572 0.011    9999.9 0.000    4    LT    
 20091008    55113.39   16.688 0.018    15.569 0.008    15.343 0.009    15.388 0.009    15.438 0.016    4    LT
 20091008    55113.55    9999  0.000    15.428 0.092    15.304 0.036    15.309 0.040    15.334 0.077    7    prompt
 20091010    55115.39   16.644 0.022    15.394 0.007    15.208 0.010    15.261 0.008    15.240 0.016    4    LT    
 20091012    55116.56   9999.9 0.000    15.390 0.015    15.114 0.015    15.185 0.015    15.207 0.017    7    prompt
 20091012    55117.41   16.552 0.024    15.327 0.005    15.098 0.007    15.138 0.007    15.169 0.017    4    LT    
 20091013    55117.62   9999.9 0.000    15.350 0.024    15.129 0.028    15.150 0.019    15.090 0.028    7    prompt
 20091014    55119.35   16.568 0.024    15.328 0.008    15.040 0.010    15.056 0.009    15.080 0.012    4    LT    
 20091015    55119.62   9999.9 0.000    15.305 0.024    15.009 0.011    15.005 0.019    15.045 0.021    7    prompt
 20091018    55122.53   9999.9 0.000    9999.9 0.000    14.963 0.013    15.002 0.016    14.942 0.024    7    prompt
 20091021    55125.53   9999.9 0.000    15.429 0.012    14.944 0.018    14.987 0.016    14.929 0.023    7    prompt
 20091023    55128.34   17.301 0.021    15.527 0.005    15.020 0.007    15.010 0.016    14.978 0.010    4    LT
 20091024    55128.51   9999.9 0.000    15.557 0.011    9999.9 0.000    9999.9 0.000    9999.9 0.000    7    prompt
 20091025    55129.55   9999.9 0.000    15.575 0.011    9999.9 0.000    9999.9 0.000    9999.9 0.000    7    prompt
