 1987A    IIP jd_expl= 46849.8
 LMC    ABg= 0.79 .00 ABi= 0.00 .00 mu= 18.49 .00
____________________________________________________________________________
UBVRI  JD_max  46849.69 .00 46951.69 .00 46849.69 .00  46829.69 .00 46829.69 .00
       m_max        9999 .00  9999 .00  9999 .00   9999 .00  9999 .00
  Date       JD         U        B         V         R         I        S       notes             
  xxxxx    46849.      .00 .00  30.  .00  30.  .00  30.  .00  9999 .00  111      
#
   398.    47198.44   8.80 .00  7.61 .00  6.49 .00  5.39 .00  4.93 .00  1        
   401.    47201.45   8.81 .00  7.63 .00  6.52 .00  5.43 .00  4.96 .00  1        
   402.    47202.44   8.81 .00  7.64 .00  6.53 .00  5.43 .00  4.96 .00  1        
   403.    47203.43   8.81 .00  7.64 .00  6.53 .00  5.44 .00  4.98 .00  1        
   404.    47204.36   8.83 .00  7.66 .00  6.55 .00  5.45 .00  4.99 .00  1        
   405.    47205.41   8.85 .00  7.68 .00  6.58 .00  5.48 .00  5.03 .00  1        
   409.    47209.39   8.83 .00  7.69 .00  6.59 .00  5.51 .00  5.04 .00  1        
   412.    47212.26   8.85 .00  7.71 .00  6.62 .00  5.54 .00  5.09 .00  1        
   413.    47213.26   8.86 .00  7.73 .00  6.62 .00  5.55 .00  5.10 .00  1        
   414.    47214.26   8.86 .00  7.73 .00  6.64 .00  5.57 .00  5.11 .00  1        
   415.    47215.30   8.86 .00  7.73 .00  6.66 .00  5.58 .00  5.13 .00  1        
   417.    47217.30   8.86 .00  7.73 .00  6.67 .00  5.60 .00  5.15 .00  1        
   419.    47219.32   8.87 .00  7.75 .00  6.68 .00  5.62 .00  5.18 .00  1        
   420.    47220.31   8.87 .00  7.77 .00  6.71 .00  5.62 .00  5.20 .00  1        
   423.    47223.30   8.87 .00  7.80 .00  6.73 .00  5.67 .00  5.25 .00  1        
   424.    47224.30   8.87 .00  7.80 .00  6.74 .00  5.68 .00  5.25 .00  1        
   430.    47230.27   8.92 .00  7.84 .00  6.83 .00  5.76 .00  5.33 .00  1        
   433.    47233.28   8.93 .00  7.87 .00  6.83 .00  5.79 .00  5.36 .00  1        
   435.    47235.27   8.93 .00  7.88 .00  6.85 .00  5.80 .00  5.38 .00  1        
   236.    47236.24   8.92 .00  7.89 .00  6.86 .00  5.81 .00  5.39 .00  1        
   237.    47237.24   8.92 .00  7.89 .00  6.86 .00  5.81 .00  5.41 .00  1        
   239.    47239.25   8.95 .00  7.92 .00  6.89 .00  5.85 .00  5.43 .00  1        
   240.    47240.25   8.95 .00  7.92 .00  6.91 .00  5.85 .00  5.44 .00  1        
   241.    47241.25   8.95 .00  7.92 .00  6.91 .00  5.87 .00  5.46 .00  1        
   242.    47242.25   8.96 .00  7.93 .00  6.92 .00  5.88 .00  5.47 .00  1        
   243.    47243.25   8.97 .00  7.94 .00  6.93 .00  5.89 .00  5.48 .00  1        
   244.    47244.25   8.96 .00  7.94 .00  6.94 .00  5.91 .00  5.50 .00  1        
   246.    47246.24   8.97 .00  7.96 .00  6.96 .00  5.93 .00  5.53 .00  1        
   247.    47247.24   8.98 .00  7.97 .00  6.97 .00  5.94 .00  5.54 .00  1        
   248.    47248.24   8.99 .00  7.98 .00  6.99 .00  5.96 .00  5.55 .00  1        
   250.    47250.24   8.97 .00  7.99 .00  7.00 .00  5.99 .00  5.58 .00  1        
